iteration,feature,train_split,model_params,mae,mse
2,"['98102' '98103' '98104' '98105' '98106' '98107' '98108' '98109' '98112'
 '98115' '98116' '98117' '98118' '98119' '98121' '98122' '98125' '98126'
 '98133' '98134' '98136' '98144' '98146' '98166' '98168' '98177' '98178'
 '98188' '98199']",[    0     1     2 ... 12610 12611 12612],"[200, 0.75, None, 0.0005]",11.032774374854803,208.54618909914524
3,"['98102' '98103' '98104' '98105' '98106' '98107' '98108' '98109' '98112'
 '98115' '98116' '98117' '98118' '98119' '98121' '98122' '98125' '98126'
 '98133' '98134' '98136' '98144' '98146' '98166' '98168' '98177' '98178'
 '98188' '98199']",[    0     1     3 ... 12610 12611 12612],"[500, 0.5, 10, 0.0005]",11.435773974111244,240.2364747080805
4,"['98102' '98103' '98104' '98105' '98106' '98107' '98108' '98109' '98112'
 '98115' '98116' '98117' '98118' '98119' '98121' '98122' '98125' '98126'
 '98133' '98134' '98136' '98144' '98146' '98166' '98168' '98177' '98178'
 '98188' '98199']",[    0     1     2 ... 12610 12611 12612],"[100, 0.5, None, 0.0005]",10.728605132130053,191.9455832253718
5,"['98102' '98103' '98104' '98105' '98106' '98107' '98108' '98109' '98112'
 '98115' '98116' '98117' '98118' '98119' '98121' '98122' '98125' '98126'
 '98133' '98134' '98136' '98144' '98146' '98166' '98168' '98177' '98178'
 '98188' '98199']",[    1     2     3 ... 12610 12611 12612],"[500, 0.5, 10, 0.0005]",10.675692323115856,194.41606392164732
6,"['98102' '98103' '98104' '98105' '98106' '98107' '98108' '98109' '98112'
 '98115' '98116' '98117' '98118' '98119' '98121' '98122' '98125' '98126'
 '98133' '98134' '98136' '98144' '98146' '98166' '98168' '98177' '98178'
 '98188' '98199']",[    0     1     2 ... 12610 12611 12612],"[500, 0.5, 10, 0.0005]",11.15391620606877,220.24089141218352
7,"['98102' '98103' '98104' '98105' '98106' '98107' '98108' '98109' '98112'
 '98115' '98116' '98117' '98118' '98119' '98121' '98122' '98125' '98126'
 '98133' '98134' '98136' '98144' '98146' '98166' '98168' '98177' '98178'
 '98188' '98199']",[    0     1     2 ... 12610 12611 12612],"[500, 0.5, 10, 0.0005]",11.133812329993319,217.92339631362563
8,"['98102' '98103' '98104' '98105' '98106' '98107' '98108' '98109' '98112'
 '98115' '98116' '98117' '98118' '98119' '98121' '98122' '98125' '98126'
 '98133' '98134' '98136' '98144' '98146' '98166' '98168' '98177' '98178'
 '98188' '98199']",[    0     2     3 ... 12608 12609 12610],"[200, 0.75, None, 0.0005]",10.808570475549246,217.16156512730427
9,"['98102' '98103' '98104' '98105' '98106' '98107' '98108' '98109' '98112'
 '98115' '98116' '98117' '98118' '98119' '98121' '98122' '98125' '98126'
 '98133' '98134' '98136' '98144' '98146' '98166' '98168' '98177' '98178'
 '98188' '98199']",[    0     1     2 ... 12610 12611 12612],"[200, 0.75, None, 0.0005]",11.245230556297729,224.04612596159578
10,"['98102' '98103' '98104' '98105' '98106' '98107' '98108' '98109' '98112'
 '98115' '98116' '98117' '98118' '98119' '98121' '98122' '98125' '98126'
 '98133' '98134' '98136' '98144' '98146' '98166' '98168' '98177' '98178'
 '98188' '98199']",[    0     1     2 ... 12609 12611 12612],"[200, 0.75, None, 0.0005]",10.780677906914729,200.29540771898957
1,[u'average_review_rating'],[    0     1     2 ... 12610 12611 12612],"[200, 0.5, 10, 0.1]",11.366785255793824,210.5220275481611
2,[u'average_review_rating'],[    0     1     2 ... 12610 12611 12612],"[100, 0.25, 5, 0.01]",11.478334516527928,221.4163472600433
3,[u'average_review_rating'],[    0     1     3 ... 12610 12611 12612],"[200, 0.5, 10, 0.1]",11.875841632073561,250.3629973759292
4,[u'average_review_rating'],[    0     1     2 ... 12610 12611 12612],"[100, 0.5, 5, 0.0005]",11.13769809306901,200.8351682040107
